--- scanner 0 ---
-640,638,699
526,552,850
515,819,-585
416,-509,-431
-813,475,-525
-533,-621,504
579,482,859
606,435,862
-444,-581,-268
600,889,-528
514,747,-569
409,-497,-367
478,-646,471
-445,-498,-466
-532,-606,543
-118,3,33
-705,564,663
525,-637,586
-639,-535,609
-464,-397,-310
-864,575,-526
570,-663,589
-891,627,708
447,-367,-483
-732,513,-463

--- scanner 1 ---
902,878,-690
-606,551,-624
-553,551,-780
-292,410,805
-457,-795,549
886,646,719
751,660,776
-716,-303,-464
103,133,83
-9,37,-16
-422,-790,563
954,767,-617
-653,-330,-444
717,-659,595
560,-696,-682
-332,538,828
621,-746,491
799,548,709
-441,-708,436
515,-707,574
-641,-246,-486
-227,431,807
-587,459,-728
969,955,-580
497,-705,-710
449,-662,-799

--- scanner 2 ---
760,-747,-581
799,381,596
-633,323,841
805,351,849
478,-687,558
-144,-29,-85
-8,32,45
793,449,775
518,-828,529
-735,-657,-697
-421,721,-758
593,-804,574
375,728,-691
-601,531,870
773,-840,-584
-467,658,-881
-573,-648,321
-747,-722,-598
-601,477,893
-519,-819,365
435,579,-702
-669,-643,-531
-529,-621,346
377,692,-811
-442,817,-869
752,-785,-625

--- scanner 3 ---
642,-715,461
822,-784,-512
-690,675,-457
490,399,782
600,-800,334
400,726,-673
-699,903,274
-778,893,443
-365,-598,400
715,-745,-626
-505,-411,-495
556,726,-726
563,510,834
-301,-590,318
70,-73,-68
738,-649,-498
-404,-768,310
-720,566,-488
610,-698,276
-629,498,-498
600,322,849
-347,-313,-517
-512,-311,-417
-51,109,63
452,818,-707
-641,837,443

--- scanner 4 ---
-595,-753,286
-864,-859,-627
619,238,-868
-781,599,655
502,-571,-787
300,700,706
-705,734,711
399,-821,710
-95,-164,-43
-666,414,-815
-943,-856,-477
-788,385,-935
425,-876,724
430,665,729
503,729,716
441,-748,-828
-30,-3,-131
-788,547,-814
411,-639,-797
429,-928,844
-863,661,653
-696,-803,296
784,240,-768
626,338,-790
-537,-746,370
-916,-767,-618

--- scanner 5 ---
-691,-798,726
112,-55,96
-645,472,-662
-701,-834,-390
852,562,653
-417,654,713
784,-593,520
-517,495,-758
415,590,-577
557,631,-663
485,647,-662
865,520,500
-779,-812,-566
654,-538,484
-470,810,713
752,-788,-651
822,-797,-598
-796,-777,833
818,-514,428
-809,-778,-364
-436,758,805
-731,-775,854
852,575,405
-631,388,-797
869,-800,-571

--- scanner 6 ---
635,-690,347
-554,-698,885
-602,-754,862
440,720,-609
622,-743,-496
-664,-653,-423
-738,344,-754
741,-766,394
560,-813,-427
639,-758,502
429,619,-626
-711,-677,-487
515,-757,-419
-741,289,656
297,585,-606
-788,-784,-441
-722,371,783
-501,-775,789
766,263,503
808,337,515
-140,-89,-92
669,264,591
-747,299,-821
19,-140,76
-734,485,-875
-706,284,670

--- scanner 7 ---
493,599,478
-855,-753,557
421,-360,775
-451,605,657
-596,-261,-456
-748,721,-241
-580,-348,-343
555,629,-558
578,-397,-502
-9,-1,15
-792,-726,537
310,-394,892
-564,602,708
478,578,-631
-561,-266,-470
-84,95,150
376,-349,-481
482,-310,-398
358,-351,803
481,514,514
-780,-810,579
-700,777,-264
-801,798,-337
521,666,482
569,601,-797
-586,671,744

--- scanner 8 ---
-369,840,711
877,770,-612
-315,-575,744
-306,-478,-351
899,715,-432
166,112,159
30,89,14
-406,-371,-271
889,882,-514
487,-547,726
525,-608,690
-360,-503,-261
519,-534,473
-261,834,784
-536,758,-346
-560,912,-383
956,622,476
429,-546,-538
867,614,591
-504,-487,724
517,-733,-553
-7,-52,137
-418,844,881
898,662,594
-410,866,-386
451,-641,-671
-439,-677,716

--- scanner 9 ---
460,-778,662
-710,-610,-676
-564,339,497
-310,-826,567
-646,-622,-669
773,205,934
469,-942,-375
121,-198,15
699,333,-723
601,-749,622
640,-986,-429
-619,326,592
772,320,-659
803,339,827
-508,634,-571
667,-961,-385
18,-142,181
484,-733,737
-492,706,-570
-577,339,745
-594,-480,-638
-549,776,-485
902,343,-694
-264,-837,676
777,325,882
-277,-839,448

--- scanner 10 ---
873,690,-787
-521,-360,409
900,670,-850
541,-620,-420
-453,-758,-705
-633,-384,343
957,648,-775
473,-559,-390
-367,713,486
541,335,315
-455,519,-559
